subject,lottery,z1,z2,p1,ce,female,semester,highincome
1,38,-23.323615160349853,-5.830903790087463,0.75,-18.513119533527696,1,4,0
1,39,23.323615160349853,5.830903790087463,0.5,10.64139941690962,1,4,0
1,40,-29.15451895043732,0.0,0.1,-26.96793002915452,1,4,0
1,41,-29.15451895043732,-11.661807580174926,0.05,-28.2798833819242,1,4,0
1,42,5.830903790087463,0.0,0.5,2.478134110787172,1,4,0
1,43,-29.15451895043732,-11.661807580174926,0.75,-22.59475218658892,1,4,0
1,44,29.15451895043732,0.0,0.1,3.6443148688046647,1,4,0
1,45,-23.323615160349853,-5.830903790087463,0.05,-22.44897959183673,1,4,0
1,46,-87.46355685131195,0.0,0.5,-76.53061224489795,1,4,0
1,47,-5.830903790087463,0.0,0.9,-3.9358600583090375,1,4,0
1,48,-23.323615160349853,-5.830903790087463,0.95,-12.39067055393586,1,4,0
1,49,11.661807580174926,0.0,0.75,5.53935860058309,1,4,0
1,50,-29.15451895043732,-11.661807580174926,0.25,-26.96793002915452,1,4,0
1,11,29.15451895043732,11.661807580174926,0.75,20.84548104956268,1,4,0
1,12,23.323615160349853,5.830903790087463,0.25,10.64139941690962,1,4,0
1,13,-11.661807580174926,-5.830903790087463,0.9,-8.892128279883382,1,4,0
1,14,-11.661807580174926,0.0,0.05,-10.787172011661808,1,4,0
1,15,-29.15451895043732,-11.661807580174926,0.95,-17.346938775510203,1,4,0
1,16,29.15451895043732,11.661807580174926,0.95,23.46938775510204,1,4,0
1,17,29.15451895043732,11.661807580174926,0.05,12.973760932944606,1,4,0
1,18,-11.661807580174926,0.0,0.25,-5.53935860058309,1,4,0
1,19,-29.15451895043732,0.0,0.9,-12.39067055393586,1,4,0
1,20,11.661807580174926,0.0,0.25,5.53935860058309,1,4,0
2,31,-11.661807580174926,-5.830903790087463,0.1,-10.058309037900877,1,2,0
2,32,-5.830903790087463,0.0,0.5,-5.53935860058309,1,2,0
2,33,-11.661807580174926,0.0,0.95,-2.0408163265306123,1,2,0
2,34,-11.661807580174926,-5.830903790087463,0.5,-9.183673469387754,1,2,0
2,35,23.323615160349853,5.830903790087463,0.95,20.26239067055393,1,2,0
2,36,-23.323615160349853,-5.830903790087463,0.5,-17.638483965014576,1,2,0
2,37,87.46355685131195,29.15451895043732,0.05,39.35860058309038,1,2,0
2,38,-23.323615160349853,-5.830903790087463,0.75,-14.1399416909621,1,2,0
2,39,23.323615160349853,5.830903790087463,0.5,15.014577259475216,1,2,0
2,40,-29.15451895043732,0.0,0.1,-16.76384839650146,1,2,0
2,1,5.830903790087463,0.0,0.1,0.2915451895043731,1,2,0
2,2,29.15451895043732,0.0,0.9,9.475218658892128,1,2,0
2,4,11.661807580174926,5.830903790087463,0.5,8.892128279883382,1,2,0
2,5,23.323615160349853,5.830903790087463,0.05,6.705539358600583,1,2,0
2,6,87.46355685131195,0.0,0.5,32.79883381924198,1,2,0
2,7,29.15451895043732,11.661807580174926,0.5,12.536443148688043,1,2,0
2,8,11.661807580174926,0.0,0.95,11.661807580174926,1,2,0
2,9,-5.830903790087463,0.0,0.1,-4.810495626822157,1,2,0
2,10,29.15451895043732,11.661807580174926,0.25,15.597667638483964,1,2,0
2,11,29.15451895043732,11.661807580174926,0.75,17.346938775510203,1,2,0
2,12,23.323615160349853,5.830903790087463,0.25,6.705539358600583,1,2,0
2,14,-11.661807580174926,0.0,0.05,-11.07871720116618,1,2,0
2,15,-29.15451895043732,-11.661807580174926,0.95,-11.661807580174926,1,2,0
